depth_m	age_gas_calBP	age_gas_calBP	co2_ppm	co2_1s_ppm	notes
2823.11	468810.00	471200.79	215.50	2.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2823.76	469470.00	471824.53	218.70	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2824.22	469941.00	472263.07	229.20	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2824.86	470597.00	472863.27	232.70	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2825.31	471046.00	473217.82	243.70	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2826.05	471763.00	473800.85	243.90	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2826.42	472095.00	474092.36	245.60	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2827.53	473102.00	474974.11	241.20	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2828.63	474162.00	475925.20	233.10	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2829.72	475218.00	476949.80	232.80	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2830.82	476240.00	477941.00	236.60	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2831.93	477162.00	478892.46	239.10	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2832.56	477719.00	479402.95	236.50	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2833.02	478124.00	479775.69	231.30	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2833.66	478721.00	480328.30	220.80	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2834.12	479144.00	480726.68	218.80	2.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2835.22	480108.00	481662.96	223.80	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2836.32	481035.00	482580.96	223.40	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2837.43	481932.00	483395.38	227.30	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2838.53	482803.00	484179.79	231.40	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2839.62	483649.00	484936.18	231.40	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2840.71	484465.00	485667.52	231.20	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2841.81	485276.00	486398.67	233.00	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2842.92	486043.00	487129.25	232.90	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2844.02	486816.00	487848.07	231.30	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2845.11	487541.00	488565.45	237.10	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2846.22	488268.00	489302.09	242.00	0.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2846.86	488689.00	489719.79	240.90	0.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2847.33	488996.00	490026.29	252.80	2.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2848.05	489475.00	490494.91	249.30	2.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2848.42	489722.00	490733.95	242.60	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2849.53	490445.00	491451.08	243.30	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2850.63	491191.00	492154.55	246.70	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2851.72	491959.00	492863.78	243.70	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2852.82	492738.00	493593.11	239.70	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2853.91	493507.00	494300.39	239.10	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2855.03	494311.00	495024.13	238.30	2.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2856.12	495085.00	495725.69	238.50	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2857.22	495853.00	496444.07	237.60	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2858.32	496608.00	497187.63	236.40	2.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2859.43	497366.00	497965.98	236.50	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2860.51	498104.00	498737.42	232.80	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2861.62	498865.00	499526.78	230.60	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2862.72	499610.00	500304.78	230.80	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2863.83	500363.00	501083.96	228.20	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2864.93	501130.00	501861.42	230.80	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2866.02	501866.00	502637.64	231.20	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2867.13	502625.00	503418.93	232.00	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2868.23	503375.00	504177.19	232.20	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2869.32	504083.00	504911.78	234.10	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2870.42	504777.00	505684.24	233.90	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2871.52	505516.00	506483.73	235.50	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2872.62	506287.00	507312.40	236.00	2.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2873.72	507011.00	508117.72	238.20	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2874.82	507714.00	508940.98	237.00	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2875.92	508476.00	509784.98	240.30	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2877.02	509247.00	510652.33	233.40	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2878.12	510008.00	511512.45	236.40	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2879.22	510765.00	512363.78	235.20	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2880.32	511515.00	513204.74	242.00	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2881.42	512269.00	514033.12	238.20	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2882.52	512997.00	514847.78	239.20	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2883.62	513724.00	515650.78	241.50	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2884.72	514429.00	516420.98	243.00	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2885.82	515113.00	517154.98	247.20	2.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2886.92	515771.00	517876.01	246.20	2.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2888.02	516417.00	518600.46	245.50	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2889.12	517069.00	519329.13	245.30	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2890.22	517706.00	520073.36	247.70	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2891.32	518334.00	520821.81	245.50	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2892.42	518965.00	521574.47	243.50	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2895.71	520892.00	523801.82	241.90	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2896.82	521552.00	524570.87	236.80	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2897.92	522216.00	525337.00	235.80	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2899.02	522923.00	526107.00	233.70	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2900.12	523666.00	526895.81	230.30	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2901.22	524409.00	527698.69	227.80	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2902.32	525164.00	528516.69	224.70	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2903.42	525908.00	529403.43	222.70	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2904.51	526661.00	530290.51	221.20	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2905.62	527454.00	531201.38	220.30	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2906.72	528262.00	532078.76	220.70	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2907.36	528747.00	532592.53	214.50	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2907.82	529101.00	532987.57	211.40	2.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2908.48	529640.00	533554.37	204.40	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2908.92	530016.00	533932.24	200.00	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2909.65	530685.00	534668.18	195.10	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2910.02	531035.00	535043.56	193.80	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2910.66	531662.00	535695.05	190.50	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2911.12	532119.00	536178.47	199.80	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2912.22	533246.00	537334.47	199.40	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2913.33	534364.00	538440.76	205.00	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2914.42	535483.00	539513.82	206.40	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2915.52	536622.00	540583.82	212.90	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2916.62	537770.00	541653.82	211.20	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2917.72	538959.00	542740.21	205.00	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2918.82	540154.00	543844.87	203.60	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2919.92	541345.00	544885.99	208.10	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2921.00	542502.00	545864.91	210.30	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2922.12	543676.00	546830.15	209.60	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2923.22	544804.00	547806.68	209.70	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2924.32	545956.00	548770.78	204.60	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2925.42	547013.00	549720.11	202.50	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2926.07	547573.00	550230.73	208.80	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2926.52	547972.00	550582.55	213.60	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2927.62	548933.00	551381.09	215.20	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2928.72	549830.00	552111.09	219.90	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2929.82	550637.00	552681.56	221.70	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2930.48	551124.00	553020.92	222.30	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2930.92	551452.00	553245.99	226.30	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2931.65	551979.00	553619.39	222.10	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2932.02	552250.00	553808.65	220.30	0.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2933.12	552961.00	554479.62	223.60	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2934.22	553626.00	555158.35	224.30	2.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2935.32	554254.00	555842.35	226.70	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2936.42	554831.00	556407.02	233.90	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2937.52	555345.00	556923.29	241.00	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2938.17	555637.00	557198.65	243.00	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2938.61	555839.00	557385.05	249.10	2.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2939.27	556143.00	557657.14	244.00	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2939.71	556364.00	557838.21	250.50	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2940.47	556724.00	558154.56	245.60	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2940.82	556889.00	558306.02	240.40	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2941.91	557385.00	558777.69	238.10	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2943.01	557887.00	559316.01	234.50	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2943.66	558183.00	559636.76	229.70	0.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2944.12	558393.00	559872.62	230.20	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2945.22	558929.00	560436.62	230.30	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2946.32	559461.00	560965.60	228.30	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2947.42	559972.00	561450.74	231.60	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2948.52	560459.00	561888.07	231.90	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2949.62	560930.00	562310.49	234.60	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2950.53	561309.00	562655.60	234.10	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2951.82	561846.00	563134.85	240.10	2.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2952.92	562272.00	563535.74	242.30	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2954.02	562690.00	563927.90	245.70	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2955.12	563115.00	564310.56	245.80	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2956.22	563517.00	564724.36	247.60	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2957.32	563918.00	565134.30	251.40	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2958.42	564311.00	565538.96	252.40	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2959.52	564699.00	565895.64	252.60	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2960.62	565077.00	566245.30	251.40	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2961.72	565466.00	566588.64	253.70	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2962.82	565851.00	566918.35	254.30	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2963.92	566233.00	567239.49	253.90	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2965.01	566619.00	567548.65	254.50	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2966.12	567007.00	567884.89	253.20	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2967.19	567381.00	568204.14	253.90	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2968.32	567777.00	568534.24	252.80	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2969.42	568167.00	568930.15	253.00	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2970.52	568556.00	569314.59	250.20	0.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2971.62	568946.00	569683.93	251.30	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2972.71	569331.00	570067.25	250.00	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2973.82	569728.00	570463.46	251.30	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2974.92	570139.00	570862.13	251.80	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2976.02	570548.00	571261.44	251.80	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2977.12	570955.00	571633.36	249.60	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2978.22	571367.00	571974.69	251.60	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2979.32	571775.00	572314.73	250.30	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2980.41	572190.00	572669.87	246.30	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2981.52	572619.00	573052.65	247.70	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2982.62	573037.00	573474.79	249.20	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2983.72	573462.00	573911.99	248.70	0.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2984.82	573902.00	574364.65	251.80	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2985.92	574353.00	574805.00	251.90	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2987.02	574803.00	575234.92	252.10	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2988.12	575265.00	575653.58	248.90	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2989.22	575730.00	576111.81	252.50	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2990.32	576222.00	576597.93	252.90	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2991.42	576723.00	577113.93	251.30	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2992.52	577242.00	577652.62	251.30	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2993.62	577769.00	578195.11	251.10	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2994.72	578305.00	578741.11	249.10	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2995.82	578857.00	579279.33	252.90	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2996.92	579435.00	579831.82	251.50	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2997.65	579821.00	580209.21	244.10	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2998.02	580019.00	580400.49	243.80	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2998.66	580400.00	580815.64	236.20	0.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2999.12	580695.00	581117.01	230.30	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
2999.76	581160.00	581546.53	225.20	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3000.22	581507.00	581926.24	219.40	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3000.86	582000.00	582454.53	215.40	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3001.32	582391.00	582834.24	209.90	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3002.05	583034.00	583576.82	206.70	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3002.42	583413.00	583956.24	210.60	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3005.26	586406.00	586720.84	224.00	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3005.72	586893.00	587169.41	226.00	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3006.45	587647.00	587891.27	234.40	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3006.82	588034.00	588276.75	238.80	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3007.46	588716.00	588943.51	246.30	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3007.92	589224.00	589422.75	250.20	0.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3008.56	589868.00	590042.56	248.10	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3009.02	590335.00	590486.39	243.60	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3009.57	590893.00	591017.05	237.40	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3010.85	592279.00	592386.15	225.70	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3011.22	592697.00	592782.84	229.40	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3011.87	593415.00	593558.25	233.20	0.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3012.28	593870.00	594049.75	238.10	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3012.96	594639.00	594866.89	238.00	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3013.42	595189.00	595433.39	232.90	0.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3014.06	595950.00	596221.56	221.20	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3014.52	596515.00	596788.05	216.40	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3015.25	597443.00	597807.12	216.30	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3015.62	597966.00	598326.24	219.00	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3016.26	598833.00	599218.22	226.00	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3016.72	599434.00	599817.89	229.40	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3017.82	600882.00	601251.89	232.50	1.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3018.92	602278.00	602597.70	237.90	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3020.02	603673.00	603946.07	239.10	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3021.12	605076.00	605300.07	244.50	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3022.19	606374.00	606622.82	248.50	1.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3023.32	607708.00	607976.42	254.60	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3024.42	608929.00	609244.42	259.20	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3025.52	610136.00	610426.82	257.70	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3026.62	611319.00	611597.99	259.60	1.20	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3027.72	612514.00	612759.33	258.00	1.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3028.82	613709.00	613940.12	256.00	0.40	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3029.92	614923.00	615137.84	252.50	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3031.02	616227.00	616353.84	252.40	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3032.09	617544.00	617606.64	252.30	1.10	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3033.22	618955.00	618950.73	247.90	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3034.32	620338.00	620280.73	245.40	0.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3035.42	621760.00	621648.34	243.00	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3036.52	623214.00	623051.67	238.60	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3037.62	624690.00	624493.67	237.30	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3038.26	625570.00	625394.39	234.30	0.30	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3038.72	626215.00	626043.97	227.80	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3039.36	627211.00	626974.05	214.90	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3039.82	627999.00	627825.47	205.00	0.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3040.53	629446.00	629139.62	198.70	0.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3040.92	630295.00	629861.47	199.90	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3041.65	632001.00	631532.09	199.50	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3042.01	632856.00	632362.71	195.60	1.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3042.74	634592.00	634068.32	192.10	1.60	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3043.12	635489.00	635002.88	193.90	1.80	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3043.74	636957.00	636527.71	193.00	0.70	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3044.22	638127.00	637708.22	194.30	1.90	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3044.93	639848.00	639424.30	187.70	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3045.32	640760.00	640366.21	189.10	0.50	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
3046.05	642405.00	642079.82	190.20	1.00	Dome C (393-664 kyr BP) Siegenthaler et al. (2005) University of Bern
